w1,w2,count,count_w1,P(w2|w1)
stitchery,",",1,1,1.0
'king,richard,1,1,1.0
eventful,history,1,1,1.0
fellow-counsellor,",",1,1,1.0
thundering,shock,1,1,1.0
peroration,with,1,1,1.0
particularise,their,1,1,1.0
grassy,carpet,1,1,1.0
footboys,.,1,1,1.0
defacing,monuments,1,1,1.0
razing,the,1,1,1.0
unconquered,soul,1,1,1.0
master-secretary,:,1,1,1.0
misdemean,'d,1,1,1.0
blotting,your,1,1,1.0
reprisal,is,1,1,1.0
chaplains,",",1,1,1.0
cancelling,your,1,1,1.0
one-half,year,1,1,1.0
chidest,me,1,1,1.0
effigies,witness,1,1,1.0
oppresseth,strength,1,1,1.0
limn,'d,1,1,1.0
infusing,him,1,1,1.0
monarchize,",",1,1,1.0
commotions,",",1,1,1.0
sutton,co'fil,1,1,1.0
co'fil,',1,1,1.0
easy-melting,king,1,1,1.0
burying-place,to,1,1,1.0
mustering,in,1,1,1.0
unbegot,",",1,1,1.0
remark,'d,1,1,1.0
preferments,",",2,2,1.0
hobnails,.,1,1,1.0
foreseeing,those,1,1,1.0
unpleased,eye,1,1,1.0
gladding,of,1,1,1.0
night-owls,shriek,1,1,1.0
eyebrow,.,1,1,1.0
indurance,",",1,1,1.0
tender-hearted,cousin,1,1,1.0
goblets,for,1,1,1.0
almsman,'s,1,1,1.0
ween,you,1,1,1.0
precipice,for,1,1,1.0
soft-conscienced,men,1,1,1.0
swell'st,thou,1,1,1.0
barbed,steeds,1,1,1.0
ees,:,1,1,1.0
kn,ees,1,1,1.0
rakes,:,1,1,1.0
comprising,all,1,1,1.0
shank,",",1,1,1.0
pastures,',1,1,1.0
unsay't,",",1,1,1.0
maid-pale,peace,1,1,1.0
uproars,",",1,1,1.0
scoffing,his,1,1,1.0
residue,of,1,1,1.0
powle,'s,1,1,1.0
guy,",",1,1,1.0
discomfortable,cousin,1,1,1.0
calendars,of,1,1,1.0
emblaze,the,1,1,1.0
caliver,worse,1,1,1.0
dozens,?,1,1,1.0
heavy-gaited,toads,1,1,1.0
mockable,at,1,1,1.0
moorfields,to,1,1,1.0
thirty-three,years,1,1,1.0
long-parted,mother,1,1,1.0
toasts-and-butter,",",1,1,1.0
barkloughly,castle,1,1,1.0
brazier,by,1,1,1.0
dog-days,now,1,1,1.0
fire-drake,did,1,1,1.0
mortar-piece,",",1,1,1.0
imprese,",",1,1,1.0
dispark,'d,1,1,1.0
ancients,",",1,1,1.0
corporals,",",1,1,1.0
misinterpret,me,1,1,1.0
lieutenants,",",1,1,1.0
