word,stem,lemma
aaron,aaron,aaron
abaissiez,abaissiez,abaissiez
abandon,abandon,abandon
abase,abas,abase
abash,abash,abash
abate,abat,abate
abatement,abat,abatement
abbess,abbess,abbess
abbey,abbey,abbey
abbominable,abbomin,abbominable
abbot,abbot,abbot
abbreviate,abbrevi,abbreviate
abe,abe,abe
abed,abe,abe
abel,abel,abel
abergavenny,abergavenni,abergavenny
abet,abet,abet
abhominable,abhomin,abhominable
abhor,abhor,abhor
abhorr,abhorr,abhorr
abhorring,abhor,abhor
abhorson,abhorson,abhorson
abide,abid,abide
ability,abil,ability
abject,abject,abject
abjectly,abjectli,abjectly
abjure,abjur,abjure
abjured,abjur,abjure
able,abl,able
abler,abler,abler
aboard,aboard,aboard
abode,abod,abode
abodement,abod,abodement
abominable,abomin,abominable
abominably,abomin,abominably
abomination,abomin,abomination
abortive,abort,abortive
abound,abound,abound
abraham,abraham,abraham
abram,abram,abram
abreast,abreast,abreast
abridge,abridg,abridge
abridgement,abridg,abridgement
abridgment,abridg,abridgment
abroach,abroach,abroach
abroad,abroad,abroad
abrogate,abrog,abrogate
abrook,abrook,abrook
abrupt,abrupt,abrupt
abruption,abrupt,abruption
abruptly,abruptli,abruptly
absence,absenc,absence
absent,absent,absent
absey,absey,absey
absolute,absolut,absolute
absolutely,absolut,absolutely
absolve,absolv,absolve
absolver,absolv,absolver
abstain,abstain,abstain
abstemious,abstemi,abstemious
abstinence,abstin,abstinence
abstract,abstract,abstract
absurd,absurd,absurd
absyrtus,absyrtu,absyrtus
abundance,abund,abundance
abundant,abund,abundant
abundantly,abundantli,abundantly
abuse,abus,abuse
abuser,abus,abuser
abusing,abus,abuse
abut,abut,abut
abutting,abut,abut
aby,abi,aby
abysm,abysm,abysm
academe,academ,academe
accent,accent,accent
accept,accept,accept
acceptance,accept,acceptance
access,access,access
accessary,accessari,accessary
accessible,access,accessible
accidence,accid,accidence
accident,accid,accident
accidental,accident,accidental
accidentally,accident,accidentally
accit,accit,accit
acclamation,acclam,acclamation
accommodate,accommod,accommodate
accommodation,accommod,accommodation
accompany,accompani,accompany
accomplice,accomplic,accomplice
accomplish,accomplish,accomplish
accomplishment,accomplish,accomplishment
accompt,accompt,accompt
accord,accord,accord
accordant,accord,accordant
accordeth,accordeth,accordeth
accordingly,accordingli,accordingly
accords,accord,accord
accost,accost,accost
account,account,account
accountant,account,accountant
accoutre,accoutr,accoutre
accoutrement,accoutr,accoutrement
accrue,accru,accrue
accumulate,accumul,accumulate
accumulation,accumul,accumulation
accurse,accurs,accurse
accursed,accurs,accurse
accurst,accurst,accurst
accus,accu,accus
accusation,accus,accusation
accusative,accus,accusative
accusativo,accusativo,accusativo
accuse,accus,accuse
accused,accus,accuse
accuser,accus,accuser
accuseth,accuseth,accuseth
accustom,accustom,accustom
accustomed,accustom,accustom
ace,ace,ace
ache,ach,ache
acheron,acheron,acheron
achieve,achiev,achieve
achievement,achiev,achievement
achiever,achiev,achiever
achille,achil,achille
achilles,achil,achille
acknowledge,acknowledg,acknowledge
acknowledgement,acknowledg,acknowledgement
acknown,acknown,acknown
acordo,acordo,acordo
acorn,acorn,acorn
acquaint,acquaint,acquaint
acquaintance,acquaint,acquaintance
acquainted,acquaint,acquaint
acquire,acquir,acquire
acquisition,acquisit,acquisition
acquit,acquit,acquit
acquittance,acquitt,acquittance
acre,acr,acre
across,across,across
act,act,act
actaeon,actaeon,actaeon
acting,act,act
action,action,action
actium,actium,actium
active,activ,active
actively,activ,actively
activity,activ,activity
actor,actor,actor
actual,actual,actual
acute,acut,acute
acutely,acut,acutely
adage,adag,adage
adalla,adalla,adalla
adam,adam,adam
adamant,adam,adamant
add,add,add
adder,adder,adder
addict,addict,addict
addiction,addict,addiction
addition,addit,addition
addle,addl,addle
address,address,address
addressing,address,address
addrest,addrest,addr
adhere,adher,adhere
adieu,adieu,adieu
adieus,adieu,adieus
adjacent,adjac,adjacent
adjoin,adjoin,adjoin
adjoining,adjoin,adjoin
adjourn,adjourn,adjourn
adjudge,adjudg,adjudge
adjunct,adjunct,adjunct
administer,administ,administer
admirable,admir,admirable
admiral,admir,admiral
admiration,admir,admiration
admire,admir,admire
admired,admir,admire
admirer,admir,admirer
admiringly,admiringli,admiringly
admission,admiss,admission
admit,admit,admit
admittance,admitt,admittance
admonish,admonish,admonish
admonishment,admonish,admonishment
admonition,admonit,admonition
ado,ado,ado
adoni,adoni,adoni
adonis,adoni,adoni
adopt,adopt,adopt
adoptedly,adoptedli,adoptedly
adoption,adopt,adoption
adoptious,adopti,adoptious
adoration,ador,adoration
adore,ador,adore
adorer,ador,adorer
adorest,adorest,adorest
adoreth,adoreth,adoreth
adorn,adorn,adorn
adorning,adorn,adorn
adornment,adorn,adornment
adown,adown,adown
adramadio,adramadio,adramadio
adrian,adrian,adrian
adriana,adriana,adriana
adriano,adriano,adriano
adriatic,adriat,adriatic
adsum,adsum,adsum
adulation,adul,adulation
adulterate,adulter,adulterate
adulterer,adulter,adulterer
adulteress,adulteress,adulteress
adulterous,adulter,adulterous
adultery,adulteri,adultery
adultress,adultress,adultress
advance,advanc,advance
advanced,advanc,advance
advancement,advanc,advancement
advantage,advantag,advantage
advantageable,advantag,advantageable
advantaged,advantag,advantage
advantageous,advantag,advantageous
adventure,adventur,adventure
adventurous,adventur,adventurous
adventurously,adventur,adventurously
adversary,adversari,adversary
adverse,advers,adverse
adversely,advers,adversely
adversity,advers,adversity
advertise,advertis,advertise
advertisement,advertis,advertisement
advice,advic,advice
advise,advis,advise
advisedly,advisedli,advisedly
advising,advis,advise
advocate,advoc,advocate
advocation,advoc,advocation
aeacida,aeacida,aeacida
aeacide,aeacid,aeacide
aedile,aedil,aedile
aediles,aedil,aedile
aegeon,aegeon,aegeon
aegle,aegl,aegle
aemilia,aemilia,aemilia
aemilius,aemiliu,aemilius
aenea,aenea,aenea
aeneas,aenea,aenea
aeolus,aeolu,aeolus
aer,aer,aer
aerial,aerial,aerial
aery,aeri,aery
aesculapius,aesculapiu,aesculapius
aeson,aeson,aeson
aesop,aesop,aesop
aetna,aetna,aetna
afar,afar,afar
afear,afear,afear
afeard,afeard,afeard
afeare,afear,afeare
affability,affabl,affability
affable,affabl,affable
affair,affair,affair
affaire,affair,affaire
affairs,affair,affair
affect,affect,affect
affectation,affect,affectation
affected,affect,affect
affecteth,affecteth,affecteth
affection,affect,affection
affectionate,affection,affectionate
affectionately,affection,affectionately
affectione,affection,affectione
affeer,affeer,affeer
affiance,affianc,affiance
affie,affi,affie
affine,affin,affine
affinity,affin,affinity
affirm,affirm,affirm
affirmation,affirm,affirmation
affirmative,affirm,affirmative
afflict,afflict,afflict
afflicted,afflict,afflict
affliction,afflict,affliction
afford,afford,afford
affordeth,affordeth,affordeth
affords,afford,afford
affray,affray,affray
affright,affright,affright
affront,affront,affront
affy,affi,affy
afield,afield,afield
afire,afir,afire
afloat,afloat,afloat
afoot,afoot,afoot
afore,afor,afore
aforehand,aforehand,aforehand
aforesaid,aforesaid,aforesaid
afraid,afraid,afraid
afresh,afresh,afresh
afric,afric,afric
african,african,african
afternoon,afternoon,afternoon
afterward,afterward,afterward
afterwards,afterward,afterwards
agamemnon,agamemnon,agamemnon
agate,agat,agate
agaze,agaz,agaze
age,age,age
aged,age,aged
agenor,agenor,agenor
agent,agent,agent
agents,agent,agent
aggravate,aggrav,aggravate
aggrieved,aggriev,aggrieve
agile,agil,agile
agincourt,agincourt,agincourt
agitation,agit,agitation
aglet,aglet,aglet
agnise,agnis,agnise
ago,ago,ago
agone,agon,agone
agony,agoni,agony
agood,agood,agood
agree,agre,agree
agreement,agreement,agreement
agrippa,agrippa,agrippa
aground,aground,aground
ague,agu,ague
aguecheek,aguecheek,aguecheek
agueface,aguefac,agueface
aid,aid,aid
aidance,aidanc,aidance
aidant,aidant,aidant
aidless,aidless,aidless
ail,ail,ail
aim,aim,aim
ainsi,ainsi,ainsi
aio,aio,aio
air,air,air
airless,airless,airless
airy,airi,airy
ajax,ajax,ajax
ala,ala,ala
alabaster,alabast,alabaster
alack,alack,alack
alacrity,alacr,alacrity
alarbus,alarbu,alarbus
alarm,alarm,alarm
alarum,alarum,alarum
alarums,alarum,alarum
alas,ala,alas
alban,alban,alban
albany,albani,albany
albeit,albeit,albeit
albion,albion,albion
alchemist,alchemist,alchemist
alchemy,alchemi,alchemy
alcibiade,alcibiad,alcibiade
alcide,alcid,alcide
alder,alder,alder
alderman,alderman,alderman
aldermen,aldermen,aldermen
ale,ale,ale
alehouse,alehous,alehouse
alencon,alencon,alencon
aleppo,aleppo,aleppo
ales,ale,ale
alexander,alexand,alexander
alexandria,alexandria,alexandria
alexandrian,alexandrian,alexandrian
alexas,alexa,alexas
alia,alia,alia
alias,alia,alia
alice,alic,alice
alien,alien,alien
aliena,aliena,aliena
alight,alight,alight
alike,alik,alike
alisander,alisand,alisander
alit,alit,alit
alive,aliv,alive
alla,alla,alla
allay,allay,allay
allayment,allay,allayment
allayments,allay,allayment
allegation,alleg,allegation
allege,alleg,allege
alleged,alleg,allege
allegiance,allegi,allegiance
allegiant,allegi,allegiant
alley,alley,alley
alliance,allianc,alliance
allicholy,allicholi,allicholy
allied,alli,ally
alligant,allig,alligant
alligator,allig,alligator
allon,allon,allon
allot,allot,allot
allottery,allotteri,allottery
allow,allow,allow
allowance,allow,allowance
allure,allur,allure
allurement,allur,allurement
allusion,allus,allusion
ally,alli,ally
allycholly,allycholli,allycholly
alm,alm,alm
almain,almain,almain
almanac,almanac,almanac
almighty,almighti,almighty
almond,almond,almond
almost,almost,almost
alms,alm,alm
almshouse,almshous,almshouse
almsman,almsman,almsman
aloft,aloft,aloft
alone,alon,alone
along,along,along
alonso,alonso,alonso
aloof,aloof,aloof
aloud,aloud,aloud
alp,alp,alp
alphabet,alphabet,alphabet
alphabetical,alphabet,alphabetical
alphonso,alphonso,alphonso
alps,alp,alp
already,alreadi,already
also,also,also
altar,altar,altar
alter,alter,alter
alteration,alter,alteration
altered,alter,alter
althaea,althaea,althaea
although,although,although
altitude,altitud,altitude
altogether,altogeth,altogether
alton,alton,alton
alway,alway,alway
always,alway,always
amaimon,amaimon,amaimon
amain,amain,amain
amamon,amamon,amamon
aman,aman,aman
amaze,amaz,amaze
amazed,amaz,amazed
amazedly,amazedli,amazedly
amazedness,amazed,amazedness
amazement,amaz,amazement
amazing,amaz,amazing
amazon,amazon,amazon
amazonian,amazonian,amazonian
ambassador,ambassador,ambassador
ambassadors,ambassador,ambassador
amber,amber,amber
ambiguity,ambigu,ambiguity
ambiguous,ambigu,ambiguous
ambition,ambit,ambition
ambitious,ambiti,ambitious
ambitiously,ambiti,ambitiously
amble,ambl,amble
ambles,ambl,amble
ambling,ambl,amble
ambuscadoe,ambuscado,ambuscadoe
ambush,ambush,ambush
ame,ame,ame
amen,amen,amen
amend,amend,amend
amendment,amend,amendment
amerce,amerc,amerce
america,america,america
amiable,amiabl,amiable
amid,amid,amid
amidst,amidst,amidst
amien,amien,amien
amiss,amiss,amiss
amity,amiti,amity
among,among,among
amongst,amongst,amongst
amorous,amor,amorous
amort,amort,amort
amount,amount,amount
amour,amour,amour
amphimachus,amphimachu,amphimachu
ample,ampl,ample
ampler,ampler,ampler
amplify,amplifi,amplify
amply,ampli,amply
ampthill,ampthil,ampthill
amyntas,amynta,amynta
anatomize,anatom,anatomize
anatomy,anatomi,anatomy
ancestor,ancestor,ancestor
ancestry,ancestri,ancestry
anchise,anchis,anchise
anchor,anchor,anchor
anchorage,anchorag,anchorage
anchoring,anchor,anchor
anchors,anchor,anchor
anchovy,anchovi,anchovy
ancient,ancient,ancient
ancientry,ancientri,ancientry
ancle,ancl,ancle
ancus,ancu,ancus
andiron,andiron,andiron
andren,andren,andren
andrew,andrew,andrew
andromache,andromach,andromache
andronici,andronici,andronici
andronicus,andronicu,andronicus
anew,anew,anew
ange,ang,ange
angel,angel,angel
angelica,angelica,angelica
angelical,angel,angelical
angelo,angelo,angelo
angels,angel,angel
anger,anger,anger
angerly,angerli,angerly
angier,angier,angier
angle,angl,angle
angler,angler,angler
angleterre,angleterr,angleterre
angliae,anglia,angliae
angling,angl,angle
anglish,anglish,anglish
anglois,angloi,anglois
angry,angri,angry
anguish,anguish,anguish
angus,angu,angus
animal,anim,animal
animis,animi,animis
anjou,anjou,anjou
ann,ann,ann
anna,anna,anna
annal,annal,annal
anne,ann,anne
annex,annex,annex
annexment,annex,annexment
annothanize,annothan,annothanize
annoy,annoy,annoy
annoyance,annoy,annoyance
annoying,annoy,annoying
annual,annual,annual
