ngram,count
th,110120
he,79096
an,54611
er,53819
ou,53208
in,46905
ha,43569
re,42535
nd,41388
en,37494
es,37327
st,36039
or,35458
at,35146
is,35092
ea,34831
hi,31403
to,31113
ar,29696
on,29029
it,28627
ll,28236
et,27929
nt,26875
no,26742
me,25755
ve,25534
se,24423
ho,23788
yo,23559
te,22337
ur,21905
ot,21488
ng,21153
le,20795
as,20328
ed,20065
al,19956
ti,19942
of,19379
sh,18899
wi,18789
ne,18633
"e,",18455
el,18346
om,18006
ee,17970
be,17654
ro,17641
ow,17213
ma,17176
lo,16896
wh,16681
so,16527
us,16483
fo,16261
rt,16003
ri,15873
de,15714
si,15087
ra,15037
ce,14586
co,14512
tt,14469
em,14264
il,14178
ta,14009
sa,13975
we,13775
ut,13584
ch,13476
li,13413
rs,13271
"s,",13155
ei,13147
my,13050
do,12749
ss,12443
di,12435
oo,11872
la,11849
rd,10996
",a",10899
un,10897
ay,10860
ld,10746
av,10693
ir,10632
im,10053
ai,10003
ew,9916
ds,9912
ad,9888
ke,9787
os,9616
tr,9598
mo,9598
ts,9536
"t,",9528
ul,9496
"d,",9466
ec,9456
gh,9383
am,9382
ns,9333
ie,9263
nc,9109
ht,9101
ic,9047
ol,9035
go,9005
wo,8933
da,8856
pe,8835
ca,8796
wa,8720
",t",8591
fa,8498
's,8428
ge,8412
dt,8412
eh,8241
ac,8222
ef,8172
na,8172
od,8161
ey,8062
bu,8036
pr,7894
"r,",7780
id,7774
"y,",7724
eo,7447
ni,7344
e.,7340
ep,7248
",i",7202
mi,7122
io,7080
hy,7001
sp,6947
"n,",6833
fe,6816
ak,6794
po,6789
ly,6650
ig,6552
pa,6503
if,6478
tw,6363
su,6343
sw,6247
ev,6197
ft,6145
ty,6091
ry,6076
fi,5948
fr,5728
eb,5720
ys,5592
lt,5497
ov,5311
rm,5301
bl,5292
sc,5285
uc,5261
",w",5255
iv,5214
tu,5180
'd,5152
",s",5121
gr,5091
ag,5080
ia,4998
bo,4943
tl,4881
ki,4857
br,4749
ru,4705
vi,4649
yt,4645
ye,4592
sm,4560
ga,4535
"o,",4515
rn,4488
eg,4487
tm,4426
rr,4415
dm,4414
ls,4350
ue,4282
ck,4267
dh,4260
ug,4249
ap,4238
rc,4226
s.,4219
pl,4125
ob,4113
",m",4095
",b",4020
up,3974
dy,3934
dw,3917
by,3902
ny,3859
gi,3858
't,3829
t.,3826
kn,3823
ex,3766
rl,3757
mu,3737
op,3685
ab,3678
ba,3663
rh,3657
sb,3621
sl,3615
wn,3611
yl,3611
nh,3561
dr,3556
aw,3512
",h",3483
"l,",3451
ff,3419
db,3390
ct,3379
au,3306
um,3304
lf,3299
d.,3292
oc,3286
tb,3247
tc,3244
pi,3234
mp,3212
e',3185
sf,3143
hu,3095
oa,3095
ik,3066
"h,",3043
nk,3020
sn,2993
rf,2984
",f",2980
rw,2970
oi,2957
iw,2954
ua,2947
yh,2925
rg,2915
ok,2912
ya,2910
dl,2894
qu,2883
oy,2882
nm,2850
eu,2845
df,2835
du,2821
oh,2817
ym,2769
r.,2763
e:,2714
rb,2704
cr,2701
n.,2699
sd,2681
af,2665
'l,2647
tn,2624
rp,2614
"m,",2534
ud,2518
tf,2517
cl,2513
dn,2508
ci,2497
dd,2485
ip,2474
r',2429
mb,2414
fu,2406
y.,2399
ms,2393
ih,2389
fl,2373
nn,2339
lu,2334
cu,2306
nf,2301
hr,2296
",l",2285
yf,2244
yb,2240
yw,2235
i',2220
gl,2216
gu,2175
"u,",2168
n',2166
lb,2162
e?,2132
--,2127
ek,2100
gs,2091
pu,2084
rk,2073
ui,2063
td,2049
",o",2033
dc,2004
yi,1982
mt,1979
pp,1976
fh,1960
pt,1945
"w,",1934
"g,",1930
rv,1925
sy,1907
lm,1905
nw,1895
",g",1884
ws,1875
hm,1872
bi,1871
ub,1863
s:,1856
",y",1854
",n",1849
"k,",1848
hs,1844
dg,1827
hh,1806
va,1787
ks,1784
yc,1771
yd,1770
oe,1770
fm,1762
mm,1757
og,1757
